Work Date,Pay Type Description,Regular Duration (hours),OT1 Duration (hours),OT2 Duration (hours),Total Time,Phase Code,Phase Code Name,JOBS,JOBS Name,TotalHours,OTHours,IsBillable,RowKey
2025-02-26,Work,4.0,0.0,0.0,4.0,10000,Home,UNASSIGNED,Not Defined,4.0,0.0,0,2025-02-26|10000|UNASSIGNED|Work|4.0
2025-02-26,Work,4.83,0.0,0.0,4.83,30020,Equipment Repair/Maint.,9022,9022- Chiller #GCFX022,4.83,0.0,0,2025-02-26|30020|9022|Work|4.83
2025-02-26,Work,3.17,0.17,0.0,3.33,30020,Equipment Repair/Maint.,0177,0177- Geo-Cooler #177,3.34,0.17,0,2025-02-26|30020|0177|Work|3.17
2025-02-26,Work,0.0,2.0,0.0,2.0,30070,Training / Safety,0600,0600 - Drill Cool LA Yard ,2.0,2.0,0,2025-02-26|30070|0600|Work|0.0
2025-02-26,Work,0.0,14.55,0.0,14.55,40080,Billable Service,2236,2236- Alaska 2024,14.55,14.55,1,2025-02-26|40080|2236|Work|0.0
2025-02-26,Work,4.85,0.0,0.0,4.85,30020,Equipment Repair/Maint.,0177,0177- Geo-Cooler #177,4.85,0.0,0,2025-02-26|30020|0177|Work|4.85
2025-02-26,Work,3.13,0.0,0.0,3.13,30020,Equipment Repair/Maint.,0177,0177- Geo-Cooler #177,3.13,0.0,0,2025-02-26|30020|0177|Work|3.13
2025-02-26,Work,0.0,14.22,0.0,14.22,30005,Supervision,0600,0600 - Drill Cool LA Yard ,14.22,14.22,0,2025-02-26|30005|0600|Work|0.0
2025-02-26,Work,0.0,9.47,0.0,9.47,30050,On-call,0600,0600 - Drill Cool LA Yard ,9.47,9.47,0,2025-02-26|30050|0600|Work|0.0
2025-02-26,Work,4.75,0.0,0.0,4.75,30020,Equipment Repair/Maint.,9022,9022- Chiller #GCFX022,4.75,0.0,0,2025-02-26|30020|9022|Work|4.75
2025-02-26,Lunch,0.0,0.0,0.0,0.5,30020,Equipment Repair/Maint.,9022,9022- Chiller #GCFX022,0.0,0.0,0,2025-02-26|30020|9022|Lunch|0.0
2025-02-26,Work,3.25,0.02,0.0,3.27,30020,Equipment Repair/Maint.,9022,9022- Chiller #GCFX022,3.27,0.02,0,2025-02-26|30020|9022|Work|3.25
2025-02-26,DAY RATE AM,8.0,4.0,0.0,,40080,Billable Service,2104,2104- Magnolia Patterson #248,12.0,4.0,1,2025-02-26|40080|2104|DAY RATE AM|8.0
2025-02-26,DAY RATE PM,0.0,0.0,12.0,,40080,Billable Service,2104,2104- Magnolia Patterson #248,12.0,12.0,1,2025-02-26|40080|2104|DAY RATE PM|0.0
2025-02-26,Work,1.22,0.0,0.0,1.22,40100,Yard Maintenance,0600,0600 - Drill Cool LA Yard ,1.22,0.0,0,2025-02-26|40100|0600|Work|1.22
2025-02-26,Work,6.37,0.0,0.0,6.37,30020,Equipment Repair/Maint.,9014,9014- Chiller #GCFX014,6.37,0.0,0,2025-02-26|30020|9014|Work|6.37
2025-02-26,Work,3.57,0.0,0.0,3.57,40080,Billable Service,2243,2243- BPX Nabors #X37,3.57,0.0,1,2025-02-26|40080|2243|Work|3.57
2025-02-26,Work,0.42,0.0,0.0,0.42,40100,Yard Maintenance,0600,0600 - Drill Cool LA Yard ,0.42,0.0,0,2025-02-26|40100|0600|Work|0.42
2025-02-26,Work,3.73,0.0,0.0,3.73,40080,Billable Service,2111,2111- Cactus #141,3.73,0.0,1,2025-02-26|40080|2111|Work|3.73
2025-02-26,Work,0.43,8.93,0.0,9.37,30050,On-call,0600,0600 - Drill Cool LA Yard ,9.36,8.93,0,2025-02-26|30050|0600|Work|0.43
2025-02-26,DAY RATE AM,8.0,4.0,0.0,,40080,Billable Service,2257,2257 - Phoenix Lithium ,12.0,4.0,1,2025-02-26|40080|2257|DAY RATE AM|8.0
2025-02-26,DAY RATE PM,0.0,0.0,12.0,,40080,Billable Service,2257,2257 - Phoenix Lithium ,12.0,12.0,1,2025-02-26|40080|2257|DAY RATE PM|0.0
2025-02-26,DAY RATE AM,8.0,4.0,0.0,,40080,Billable Service,2236,2236- Alaska 2024,12.0,4.0,1,2025-02-26|40080|2236|DAY RATE AM|8.0
2025-02-26,DAY RATE PM,0.0,0.0,12.0,,40080,Billable Service,2236,2236- Alaska 2024,12.0,12.0,1,2025-02-26|40080|2236|DAY RATE PM|0.0
